id,accession_number,share_license_status,tombstone,current_location,title,title_in_original_language,series,series_in_original_language,creation_date,creation_date_earliest,creation_date_latest,artists_tags,culture,technique,support_materials,department,collection,type,measurements,state_of_the_work,edition_of_the_work,copyright,inscriptions,exhibitions,provenance,find_spot,related_works,former_accession_numbers,did_you_know,description,external_resources,citations,catalogue_raisonne,url,alternate_images,creditline,sketchfab_id,sketchfab_url,gallery_donor_text,creators,image_web,image_print,image_full,updated_at
74228,2020.113,CC0,"Fishmarket, 1902. Camille Pissarro (French, 1830–1903). Oil on canvas; unframed: 66 x 81.3 cm (26 x 32 in.). The Cleveland Museum of Art, Nancy F. and Joseph P. Keithley Collection Gift 2020.113",,Fishmarket,,,,1902,1902,1902,"['male', 'Jewish artists']","France, 20th century",oil on canvas,[],Modern European Painting and Sculpture,Mod Euro - Painting 1800-1960,Painting,Unframed: 66 x 81.3 cm (26 x 32 in.),,,,signed and dated lower left:  1902 C. Pissarro,"CURRENT: Impressionism to Modernism: The Keithley Collection (Sep 11, 2022) **LEGACY: <em>Inaugural Exposition of French Art</em>. California Palace of the Legion of Honor, San Francisco (1915).; <em>Masterpieces of the Ex-Matsukata Collection</em>. National Museum of Western Art, Tokyo (May 14-July 10,1960).; <em>Treasured Masterpieces of the XIXth Century Painting.</em> Galerie Fujikawa, Osaka; Yomiuri Shimbun, Tokyo (1973).; <em>Western Painting and Modern Western Style Painting in Japan: One Century from Imitation to Creation.</em> Shizuoka Prefectural Museum of Art, Shizuoka City, Japan (August 15-September 26,1986).; <em>The Triumph of French Painting: Masterpieces from Ingres to Matisse</em>. Baltimore Museum of Art, Baltimore (March 12-July 16, 2000); Philbrook Museum of Art, Tulsa (August 13-November 26, 2000); Norton Museum of Art, West Palm Beach (January 6-March 11, 2001); Royal Academy of Arts, London (June 30-September 23, 2001); Albright Knox Gallery, Buffalo (November 3, 2001-January 6, 2002).; <em>XIXth and XXth Century Master Paintings and Sculpture</em>. Acquavella Galleries, New York, NY (March 1-May 1, 2002).; ","Possibly Georges Petit [1856-1920] Paris, France; (possibly sold to dealer Duval-Fleury, Paris, France, February 14, 1918) (1918); Wilhelm Hansen [1868-1936] Copenhagen, Denmark, sold to Baron Kojiro Matsudata (1918–1923); Baron Kojiro Matsukata [1865–1950] Kobe, Japan, sold to the 15th Bank of Japan (1923–1927); The 15th Bank, Tokyo, Japan (1927–1928); Kyuzaemon Wada [1890–1968] Osaka, Japan (after 1928–before 1971); (Fujikawa Galleries, Tokyo, Japan, sold to Private Collection) (1971–1974); (sold at Sotheby’s, New York, NY, November 5, 2003, lot 5) (2003); (Acquavella Galleries, New York, NY, sold to Nancy F. and Joseph P. Keithley) (2004); Nancy F. and Joseph P. Keithley, Cleveland, OH, given to the Cleveland Museum of Art (2004–2020); The Cleveland Museum of Art, Cleveland, OH (2020–)",,[],[],Pissarro painted this work from an upper level hotel room in Dieppe. He was suffering from a recurring eye infection at the time that prevented him from working outdoors.,"This impressive view of a bustling fish market belongs to a series of paintings that Pissarro made during the summer of 1902 depicting the harbor at Dieppe. Borrowing from the Impressionist method of portraying a modern city from a high vantage point, he enlivened the scene with rich, vibrant colors applied with energetic, broken brushstrokes. Ever concerned with the fleeting effects of atmosphere, Pissarro painted the interpenetration of industrial steam with the clouds in the brilliant, sunlit sky.","{'wikidata': ['https://www.wikidata.org/wiki/Q87480807'], 'internet_archive': ['https://archive.org/details/clevelandart-2020.113-fishmarket']}","California Palace of the Legion of Honor. <em>Catalogue, Inaugural Exposition of French Art in the California Palace of the Legion of Honor, Lincoln Park, San Francisco, California, 1924-1925</em>. San Francisco: Press of the James H. Barry, 1924-1925. (Mentioned: P. 20, no. 46; Reproduced: no. 46);; Pissarro, Ludovico Rodo, and Lionello Venturi. <em>Camille Pissarro; son art--son œuvre</em>. Paris: P. Rosenberg, 1939. (Mentioned: Vol. 1, p. 254, no. 1249; Reproduced: Vol. 2, pl. 244, no. 1249);; <em>Matsukata korekushon meisaku senbatsuten zuroku</em>. Tokyo: Kokuritsu Seiyō Bijutsukan, 1960. (Reproduced: no. 105);; Shizuoka Kenritsu Bijutsukan. <em>Kindai Nihon no yōga to seiyō: mohō to sōzō no isseiki </em>(Western painting and modern Western style painting in Japan: One century from imitation to creation). Shizuoka-shi, Japan: Shizuoka Kenritsu Bijutuskan, 1986. (Mentioned and Reproduced: P. 80, no. 38);; Brettell, Richard, Joachim Pissarro, and Mary Anne Stevens. <em>The Impressionist and the City: Pissarro's Series Paintings</em>. New Haven: Yale University Press, 1992. (Reproduced: p. 191, no. 143);; Acquavella Galleries. <em>XIX &amp; XX Century Master Paintings and Sculpture: An Exhibition, March 18th to April 27th, 2002. </em>New York: Acquavella Galleries, 2002. (Mentioned and reproduced: Pl. 6);; Pissarro, Joachim and Claire Durand-Ruel Snollaerts. <em>Pissarro: critical catalogue of paintings</em>. Paris: Wildenstein Institute Publications, 2005. (Mentioned and Reproduced: Vol. III, P. 879, no. 1439);; “A Historic Gift. Longtime CMA supporters Joseph and Nancy Keithley give 114 works, the largest gift in more than 60 years.” <em>Cleveland Art: Cleveland Museum of Art Members Magazine </em>60, no. 3 (Summer 2020): Cover, 6-9. (Reproduced and Mentioned: P. 8.);; Griswold, William M. “Recent Acquisitions (2013-20) at the Cleveland Museum of Art.” <em>Burlington Magazine </em>163, no. 1414 (January 2021): 93-104. (Mentioned and reproduced: P. 97, no. 8; mentioned: P. 93);; ""Exhibitions: Transformative Gift."" <em>Art &amp; Antiques </em>XLV, no. 10 (November 2022): 48-53. (Mentioned and reproduced: p. 52);",,https://clevelandart.org/art/2020.113,[],Nancy F. and Joseph P. Keithley Collection Gift,,,,"Camille Pissarro (French, 1830–1903), artist",https://openaccess-cdn.clevelandart.org/2020.113/2020.113_web.jpg,https://openaccess-cdn.clevelandart.org/2020.113/2020.113_print.jpg,https://openaccess-cdn.clevelandart.org/2020.113/2020.113_full.tif,2025-06-18 11:14:25.117000
74539,2015.449,CC0,"A Miller's Carriage, c. 1895. Albert-Charles Lebourg (French, 1849–1928). Black and white chalk with stumping on beige wove paper; sheet: 33.2 x 49.7 cm (13 1/16 x 19 9/16 in.). The Cleveland Museum of Art, Bequest of Muriel Butkin 2015.449",,A Miller's Carriage,,,,c. 1895,1890,1900,['male'],"France, 19th-20th century",black and white chalk with stumping on beige wove paper,beige laid paper,Drawings,DR - French,Drawing,Sheet: 33.2 x 49.7 cm (13 1/16 x 19 9/16 in.),,,,Verso: upper right in green ink: 80355 / circular estate stamp (Lugt 1664b) , **LEGACY: <em>Exposition de Lebourg.</em> Musée de Rouen (1932).; ,"(Shepherd Gallery, New York, sold to Mrs. Muriel Butkin) (1977); Mrs. Muriel Butkin, Shaker Heights, OH (1977-2008); estate of Mrs. Muriel Butkin, by bequest to the Cleveland Museum of Art (2008-2015); Cleveland Museum of Art, Cleveland, OH (2015-)",,[],[],Albert Lebourg was the leader of an artistic movement called the Rouen School for the fact that they worked independently and outside the Parisian art scene.,"Albert Rouen was known for his work in charcoal, the medium used for this drawing. It likely depicts a scene from his native Rouen, a port city in northern France. He examined the city and provincial life around it frequently in his works. Here, four horses pull a carriage before a bridge, likely along the banks of the Seine River.","{'wikidata': ['https://www.wikidata.org/wiki/Q77897633'], 'internet_archive': ['https://archive.org/details/clevelandart-2015.449-a-miller-s-carriage']}",[],,https://clevelandart.org/art/2015.449,[],Bequest of Muriel Butkin,,,,"Albert-Charles Lebourg (French, 1849–1928), artist",https://openaccess-cdn.clevelandart.org/2015.449/2015.449_web.jpg,https://openaccess-cdn.clevelandart.org/2015.449/2015.449_print.jpg,https://openaccess-cdn.clevelandart.org/2015.449/2015.449_full.tif,2025-02-08 21:57:35.217000
74540,2015.451,CC0,"Leda and the Swan, c. 1846–83. Adolphe Yvon (French, 1817–1893). Charcoal and gouache with touches of pastel ; sheet: 39.7 x 54.5 cm (15 5/8 x 21 7/16 in.). The Cleveland Museum of Art, Bequest of Muriel Butkin 2015.451",,Leda and the Swan,,,,c. 1846–83,1834,1893,['male'],"France, 19th century",Charcoal and gouache with touches of pastel ,brown wove paper,Drawings,DR - French,Drawing,Sheet: 39.7 x 54.5 cm (15 5/8 x 21 7/16 in.),,,,"lower right, in brown gouache: Ad. Yvon",,[],,[],[],,"In the late 1520s Michelangelo made a painting depicting Leda and the swan, a mythological story in which Zeus assumes the form of a swan to seduce the mortal woman Leda, producing two children with her. Michelangelo’s version was undeniably more erotic and sensuous than most previous treatments of the subject, as well as more famous. Although the original was lost, several copies of the composition were made from a cartoon (full-scale drawing) that was taken to France by one of Michelangelo’s pupils in the 1530s. This drawing by Adolphe Yvon suggests that Michelangelo’s distinctive sensual rendering of the subject persisted into the 1800s.","{'wikidata': ['https://www.wikidata.org/wiki/Q77897967'], 'internet_archive': ['https://archive.org/details/clevelandart-2015.451-leda-and-the-swan']}",[],,https://clevelandart.org/art/2015.451,[],Bequest of Muriel Butkin,,,,"Adolphe Yvon (French, 1817–1893), artist",https://openaccess-cdn.clevelandart.org/2015.451/2015.451_web.jpg,https://openaccess-cdn.clevelandart.org/2015.451/2015.451_print.jpg,https://openaccess-cdn.clevelandart.org/2015.451/2015.451_full.tif,2025-02-08 21:57:35.722000
74551,2018.1059,CC0,"The Monks, c. 1802–30. François Marius Granet (French, 1775–1849). Watercolor, pen and brown ink on laid paper; sheet: 35 x 25.2 cm (13 3/4 x 9 15/16 in.); primary mount: 37 x 27.4 cm (14 9/16 x 10 13/16 in.); secondary mount: 43.4 x 37.1 cm (17 1/16 x 14 5/8 in.). The Cleveland Museum of Art, Bequest of Muriel Butkin 2018.1059",,The Monks,,,,c. 1802–30,1797,1835,['male'],"France, 18th-19th century","watercolor, pen and brown ink on laid paper",[],Drawings,DR - French,Drawing,Sheet: 35 x 25.2 cm (13 3/4 x 9 15/16 in.); Primary mount: 37 x 27.4 cm (14 9/16 x 10 13/16 in.); Secondary mount: 43.4 x 37.1 cm (17 1/16 x 14 5/8 in.),,,,"Watermark: BLAUW and five-pointed star on primary support; on mount, at center, in black ink: “GRANET.”; in black ink, at lower right: “Granet”",,"Georges Martin du Nord/Galerie B.G. Verte, Paris, France; Mrs. Muriel Butkin [1915-2008]; the Cleveland Museum of Art, Cleveland, OH (December 3, 2018)",,[],[],"In addition to working as an artist, Granet served as curator of the Musée du Louvre beginning in 1824.","The French artist François Granet traveled to Rome in 1802, where he became fascinated by the lives of monks and priests, and the cloistered interiors where they lived and worked. For most of his career, these figures and settings remained the primary subject of his work. This drawing shows one such group in the midst of private study and contemplation.","{'wikidata': ['https://www.wikidata.org/wiki/Q79875687'], 'internet_archive': ['https://archive.org/details/clevelandart-2018.1059-the-monks']}",[],,https://clevelandart.org/art/2018.1059,[],Bequest of Muriel Butkin,,,,"François Marius Granet (French, 1775–1849), artist",https://openaccess-cdn.clevelandart.org/2018.1059/2018.1059_web.jpg,https://openaccess-cdn.clevelandart.org/2018.1059/2018.1059_print.jpg,https://openaccess-cdn.clevelandart.org/2018.1059/2018.1059_full.tif,2025-02-08 21:57:36.226000
74553,2018.1060,CC0,"Study Sheet, c. 1870–80. Alfred Dehodencq (French, 1822–1882). Pen and dark brown ink, watercolor with graphite on lightweight wove paper; sheet: 18.5 x 22 cm (7 5/16 x 8 11/16 in.). The Cleveland Museum of Art, Bequest of Muriel Butkin 2018.1060",,Study Sheet,,,,c. 1870–80,1865,1885,['male'],"France, 19th century","pen and dark brown ink, watercolor with graphite on lightweight wove paper",[],Drawings,DR - French,Drawing,Sheet: 18.5 x 22 cm (7 5/16 x 8 11/16 in.),,,,"on verso, at lower left, in graphite: “#21”",,"Shepherd Gallery, New York, NY (1976); Mr. Noah L. Butkin [1918-1980] (October 1976); Mrs. Muriel Butkin [1915-2008]; the Cleveland Museum of Art, Cleveland, OH (December 3, 2018)",,[],[],"Dehodencq used drawing as a means to record his travels throughout France, Spain, and Morocco.","Alfred Dohodencq was a prolific draftsman, often combining multiple sketches on a single page as seen here. At right, an intimate sketch of a boy—perhaps the artist’s son—appears in watercolor, alongside a cavalier drawn in pen and ink. Over the man and his horse, the artist lightly penciled in a face with closed eyes, perhaps reusing the sheet for another composition.","{'wikidata': ['https://www.wikidata.org/wiki/Q79875689'], 'internet_archive': ['https://archive.org/details/clevelandart-2018.1060-study-sheet']}",[],,https://clevelandart.org/art/2018.1060,[],Bequest of Muriel Butkin,,,,"Alfred Dehodencq (French, 1822–1882), artist",https://openaccess-cdn.clevelandart.org/2018.1060/2018.1060_web.jpg,https://openaccess-cdn.clevelandart.org/2018.1060/2018.1060_print.jpg,https://openaccess-cdn.clevelandart.org/2018.1060/2018.1060_full.tif,2025-02-08 21:57:36.739000
74554,2015.447,CC0,"Un Borreau (An Executioner), c. 1848. Auguste Raffet (French, 1804–1860). Watercolor, gouache and black chalk ; sheet: 32.8 x 25 cm (12 15/16 x 9 13/16 in.). The Cleveland Museum of Art, Bequest of Muriel Butkin 2015.447",,Un Borreau (An Executioner),,,,c. 1848,1843,1853,['male'],"France, 19th century","Watercolor, gouache and black chalk ",laid paper,Drawings,DR - French,Drawing,Sheet: 32.8 x 25 cm (12 15/16 x 9 13/16 in.),,,,"lower right, in brown ink: a mon ami Giacomelli / Raffet 
",,[],,[],[],,,"{'wikidata': ['https://www.wikidata.org/wiki/Q77899750'], 'internet_archive': ['https://archive.org/details/clevelandart-2015.447-un-borreau-an-execut']}",[],,https://clevelandart.org/art/2015.447,[],Bequest of Muriel Butkin,,,,"Auguste Raffet (French, 1804–1860), artist",https://openaccess-cdn.clevelandart.org/2015.447/2015.447_web.jpg,https://openaccess-cdn.clevelandart.org/2015.447/2015.447_print.jpg,https://openaccess-cdn.clevelandart.org/2015.447/2015.447_full.tif,2025-02-08 21:57:37.258000
74570,2018.41,CC0,"Profile Portrait of a Man, 18th century. Attributed to Louis Rolland Trinquesse (French, c. 1746–c. 1800). Black chalk counterproof; sheet: 20.3 x 17.5 cm (8 x 6 7/8 in.). The Cleveland Museum of Art, Bequest of Muriel Butkin 2018.41",,Profile Portrait of a Man,,,,18th century,1800,1899,['male'],"France, 19th century",Black chalk counterproof,[],Drawings,DR - French,Drawing,Sheet: 20.3 x 17.5 cm (8 x 6 7/8 in.),,,,"verso: lower right corner, in graphite: 798; mount, lower right, in graphite: Contre éprecue; verso of mount: center, in graphite: 798 / Ctm Epr. Trinquesse; upper left corner, in graphite: trinquessé; Countermark: center: J Honig / & / Zoonen; framer’s sticker: R. Charpentier/ 104.Ba Haussmann/ Paris",,[],,[],[],,"This portrait bust is a counterproof: the reverse image of a composition, made by placing blank paper on top of a drawing and transferring the design with pressure. Eighteenth-century artists frequently made counterproofs of their drawings to replicate their work. This process also enabled them to experience how their images would appear if they were reproduced as prints.","{'wikidata': ['https://www.wikidata.org/wiki/Q78617340'], 'internet_archive': ['https://archive.org/details/clevelandart-2018.41-profile-portrait-of']}",[],,https://clevelandart.org/art/2018.41,"[{'date_created': '2019-02-14T15:17:17', 'annotation': '', 'web': {'url': 'https://openaccess-cdn.clevelandart.org/alternate/2018.41/2018.41_alt0_web.jpg', 'width': '781', 'height': '900', 'filesize': '121526'}, 'print': {'url': 'https://openaccess-cdn.clevelandart.org/alternate/2018.41/2018.41_alt0_print.jpg', 'width': '2950', 'height': '3400', 'filesize': '1750983'}, 'full': {'url': 'https://openaccess-cdn.clevelandart.org/alternate/2018.41/2018.41_alt0_full.tif', 'width': '5150', 'height': '5936', 'filesize': '91738316'}}]",Bequest of Muriel Butkin,,,,"Louis Rolland Trinquesse (French, c. 1746–c. 1800), artist",https://openaccess-cdn.clevelandart.org/2018.41/2018.41_web.jpg,https://openaccess-cdn.clevelandart.org/2018.41/2018.41_print.jpg,https://openaccess-cdn.clevelandart.org/2018.41/2018.41_full.tif,2025-02-08 21:57:37.941000
74571,2018.1061,CC0,"Two Dolls or Puppets Sitting on Cushions, c. 1870–80. Henri Joseph Harpignies (French, 1819–1916). Watercolor with graphite underdrawing on heavily textured wove paper; sheet: 38.6 x 28.5 cm (15 3/16 x 11 1/4 in.). The Cleveland Museum of Art, Bequest of Muriel Butkin 2018.1061",,Two Dolls or Puppets Sitting on Cushions,,,,c. 1870–80,1865,1885,['male'],"France, 19th century",Watercolor with graphite underdrawing on heavily textured wove paper,[],Drawings,DR - French,Drawing,Sheet: 38.6 x 28.5 cm (15 3/16 x 11 1/4 in.),,,,"signed, lower left, in black ink: “h.h”",,"P. & D. Colnaghi & Co., London, England; Shepherd Gallery, New York, NY; Mr. Noah L. Butkin [1918-1980] (November 1976); Mrs. Muriel Butkin [1915-2008]; the Cleveland Museum of Art, Cleveland, OH (December 3, 2018)",,[],[],Harpignies made this drawing as an example for one of his pupils to study and emulate.,"Henri Harpignies was best known for landscapes, and this sheet is a rare example of his still life practice. It belongs to a group of drawings created for his pupil, the Comtesse de Kermaingant, providing her with instruction in watercolor. Two dolls or puppets are propped on a pillow, allowing the comtesse to study the drapery of their costume and shadows of their placement on cushions.","{'wikidata': ['https://www.wikidata.org/wiki/Q79875691'], 'internet_archive': ['https://archive.org/details/clevelandart-2018.1061-two-dolls-or-puppets']}","Rohowsky, Peter S. French Nineteenth Century Drawings, Pastels, Watercolors: Nov. 1977-Feb. 1978. New York: Shepherd Gallery Associates, 1977. (ill. p. 50, p. 53);",,https://clevelandart.org/art/2018.1061,[],Bequest of Muriel Butkin,,,,"Henri Joseph Harpignies (French, 1819–1916), artist",https://openaccess-cdn.clevelandart.org/2018.1061/2018.1061_web.jpg,https://openaccess-cdn.clevelandart.org/2018.1061/2018.1061_print.jpg,https://openaccess-cdn.clevelandart.org/2018.1061/2018.1061_full.tif,2025-02-08 21:57:38.497000
74572,2018.42,CC0,"The Temptation of St. Anthony, 19th century. Julien Léopold Boilly (French, 1796–1874). Black chalk with white, pink, orange, ochre, and brown chalks on blue paper; sheet: 28.6 x 32.7 cm (11 1/4 x 12 7/8 in.). The Cleveland Museum of Art, Bequest of Muriel Butkin 2018.42",,The Temptation of St. Anthony,,,,19th century,1800,1899,['male'],"France, 19th century","Black chalk with white, pink, orange, ochre, and brown chalks on blue paper",[],Drawings,DR - French,Drawing,Sheet: 28.6 x 32.7 cm (11 1/4 x 12 7/8 in.),,,,"verso: lower right corner, in graphite: 8 (inscribed in circle)",,[],,[],[],,"Boilly’s scene represents the Temptations of Saint Anthony, a biblical subject. While embarking on his desert pilgrimage through Egypt, Anthony experienced a series of supernatural trials. Here, Boilly illustrated a nude nymph attempting to seduce him. Anthony’s horrified reaction to the woman’s embrace and the prominent crucifix on the right create a humorous juxtaposition between piety and lustful desire.","{'wikidata': ['https://www.wikidata.org/wiki/Q78617343'], 'internet_archive': ['https://archive.org/details/clevelandart-2018.42-the-temptation-of-st']}",[],,https://clevelandart.org/art/2018.42,"[{'date_created': '2019-02-15T11:25:16', 'annotation': '', 'web': {'url': 'https://openaccess-cdn.clevelandart.org/alternate/2018.42/2018.42_alt0_web.jpg', 'width': '900', 'height': '806', 'filesize': '208659'}, 'print': {'url': 'https://openaccess-cdn.clevelandart.org/alternate/2018.42/2018.42_alt0_print.jpg', 'width': '3400', 'height': '3045', 'filesize': '3118799'}, 'full': {'url': 'https://openaccess-cdn.clevelandart.org/alternate/2018.42/2018.42_alt0_full.tif', 'width': '5975', 'height': '5351', 'filesize': '95944772'}}]",Bequest of Muriel Butkin,,,,"Julien Léopold Boilly (French, 1796–1874), artist",https://openaccess-cdn.clevelandart.org/2018.42/2018.42_web.jpg,https://openaccess-cdn.clevelandart.org/2018.42/2018.42_print.jpg,https://openaccess-cdn.clevelandart.org/2018.42/2018.42_full.tif,2025-02-08 21:57:39.007000
74576,2015.446,CC0,"The Pipes of Pan, 1865. Mariano Fortuny (Spanish, 1838–1874). Watercolor with traces of pen and black ink; border in graphite ; sheet: 37 x 27.3 cm (14 9/16 x 10 3/4 in.). The Cleveland Museum of Art, Bequest of Muriel Butkin 2015.446",,The Pipes of Pan,,,,1865,1865,1865,['male'],"Spain, 19th century",Watercolor with traces of pen and black ink; border in graphite ,heavy wove paper,Drawings,DR - French,Drawing,Sheet: 37 x 27.3 cm (14 9/16 x 10 3/4 in.),,,,"lower left, in brown ink: M Fortuny / Roma 1865","CURRENT: Napoli Ottocento (Mar 26, 2024)",[],,[],[],,,"{'wikidata': ['https://www.wikidata.org/wiki/Q78617346'], 'internet_archive': ['https://archive.org/details/clevelandart-2015.446-the-pipes-of-pan']}",[],,https://clevelandart.org/art/2015.446,"[{'date_created': '2017-03-08T12:05:00', 'annotation': '', 'web': {'url': 'https://openaccess-cdn.clevelandart.org/alternate/2015.446/2015.446_alt0_web.jpg', 'width': '640', 'height': '900', 'filesize': '269732'}, 'print': {'url': 'https://openaccess-cdn.clevelandart.org/alternate/2015.446/2015.446_alt0_print.jpg', 'width': '2416', 'height': '3400', 'filesize': '3521070'}, 'full': {'url': 'https://openaccess-cdn.clevelandart.org/alternate/2015.446/2015.446_alt0_full.tif', 'width': '4626', 'height': '6510', 'filesize': '90377304'}}]",Bequest of Muriel Butkin,,,,"Mariano Fortuny (Spanish, 1838–1874), artist",https://openaccess-cdn.clevelandart.org/2015.446/2015.446_web.jpg,https://openaccess-cdn.clevelandart.org/2015.446/2015.446_print.jpg,https://openaccess-cdn.clevelandart.org/2015.446/2015.446_full.tif,2025-02-08 21:57:39.519000
74580,2018.43,CC0,"Costume Study, before 1852. Henri Lehmann (French, 1814–1882). Graphite with some stumping; sheet: 30.2 x 20.7 cm (11 7/8 x 8 1/8 in.). The Cleveland Museum of Art, Bequest of Muriel Butkin 2018.43",,Costume Study,,,,before 1852,1834,1852,['male'],"France, 19th century",Graphite with some stumping,[],Drawings,DR - German,Drawing,Sheet: 30.2 x 20.7 cm (11 7/8 x 8 1/8 in.),,,,"lower right, in graphite: 8 May / 58; verso: lower right corner, in graphite: #18; Watermark: center left edge: coat of arms (partial); lower left corner: Henri Lehmann (L.1664g)",,[],,[],[],,Lehmann’s drawing belongs to a pair in which the artist explored a male figure represented in his Hôtel de Ville murals. This sheet examines the relationship between drapery and the body—a traditional object of study during an artist’s training. Lehmann paid particular attention to the undulating texture and shadows formed by the folds of the robe.,"{'wikidata': ['https://www.wikidata.org/wiki/Q78617348'], 'internet_archive': ['https://archive.org/details/clevelandart-2018.43-costume-study']}","Lehmann, Henri, and Marie-Madeleine Aubrun. Henri Lehmann, 1814-1882: portraits et décors parisiens : 7 juin-4 septembre 1983, Musée Carnavalet. [Paris]: Le Musée, 1983. (p. 219, entry # D.921);",,https://clevelandart.org/art/2018.43,"[{'date_created': '2019-02-15T11:37:53', 'annotation': '', 'web': {'url': 'https://openaccess-cdn.clevelandart.org/alternate/2018.43/2018.43_alt0_web.jpg', 'width': '623', 'height': '900', 'filesize': '102691'}, 'print': {'url': 'https://openaccess-cdn.clevelandart.org/alternate/2018.43/2018.43_alt0_print.jpg', 'width': '2352', 'height': '3400', 'filesize': '1407149'}, 'full': {'url': 'https://openaccess-cdn.clevelandart.org/alternate/2018.43/2018.43_alt0_full.tif', 'width': '4318', 'height': '6241', 'filesize': '80872836'}}]",Bequest of Muriel Butkin,,,,"Henri Lehmann (French, 1814–1882), artist",https://openaccess-cdn.clevelandart.org/2018.43/2018.43_web.jpg,https://openaccess-cdn.clevelandart.org/2018.43/2018.43_print.jpg,https://openaccess-cdn.clevelandart.org/2018.43/2018.43_full.tif,2025-02-08 21:57:40.044000
74581,2018.44,CC0,"Nude Study of an Old Man, before 1852. Henri Lehmann (French, 1814–1882). Graphite and stumping; sheet: 31.1 x 21 cm (12 1/4 x 8 1/4 in.). The Cleveland Museum of Art, Bequest of Muriel Butkin 2018.44",,Nude Study of an Old Man,,,,before 1852,1858,1858,['male'],"France, 19th century",Graphite and stumping,,Drawings,DR - German,Drawing,Sheet: 31.1 x 21 cm (12 1/4 x 8 1/4 in.),,,,"lower right, in graphite: 8 May; verso: lower right corner, in graphite: #19; lower left corner: Henri Lehmann (L.1664g)"," **LEGACY: New York City: Shepherd Gallery (Nov. 1977- Feb. 1978): ""French Nineteenth Century Drawings - Pastels - Watercolors,""  cat. # 81, ill.; ",[],,[],[],,"In preparation for executing largescale paintings, artists often produced studies of individual components of their compositions in order to work through their ideas. Lehmann made this figural study for a mural in the old Hôtel de Ville in Paris, destroyed by fire during the Commune in 1871. Here, the artist explored how to render deep shadows on the nude male body.","{'wikidata': ['https://www.wikidata.org/wiki/Q78618886'], 'internet_archive': ['https://archive.org/details/clevelandart-2018.44-nude-study-of-an-old']}","Lehmann, Henri, and Marie-Madeleine Aubrun. Henri Lehmann, 1814-1882: portraits et décors parisiens : 7 juin-4 septembre 1983, Musée Carnavalet. [Paris]: Le Musée, 1983. (p. 219, entry # D.920);",,https://clevelandart.org/art/2018.44,"[{'date_created': '2019-02-15T11:40:01', 'annotation': '', 'web': {'url': 'https://openaccess-cdn.clevelandart.org/alternate/2018.44/2018.44_alt0_web.jpg', 'width': '618', 'height': '900', 'filesize': '86086'}, 'print': {'url': 'https://openaccess-cdn.clevelandart.org/alternate/2018.44/2018.44_alt0_print.jpg', 'width': '2334', 'height': '3400', 'filesize': '1050840'}, 'full': {'url': 'https://openaccess-cdn.clevelandart.org/alternate/2018.44/2018.44_alt0_full.tif', 'width': '4398', 'height': '6406', 'filesize': '84547796'}}]",Bequest of Muriel Butkin,,,,"Henri Lehmann (French, 1814–1882), artist",https://openaccess-cdn.clevelandart.org/2018.44/2018.44_web.jpg,https://openaccess-cdn.clevelandart.org/2018.44/2018.44_print.jpg,https://openaccess-cdn.clevelandart.org/2018.44/2018.44_full.tif,2025-02-08 21:57:40.557000
74584,2015.441,CC0,"Children with a Donkey (recto); Landscape (verso), c. 1850. Isidore Pils (French, 1813/15–1875). Watercolor and graphite (recto); graphite (verso); sheet: 15.8 x 10.4 cm (6 1/4 x 4 1/8 in.). The Cleveland Museum of Art, Bequest of Muriel Butkin 2015.441",,Children with a Donkey (recto); Landscape (verso),,,,c. 1850,1845,1855,['male'],"France, 19th century",watercolor and graphite (recto); graphite (verso),wove paper,Drawings,DR - French,Drawing,Sheet: 15.8 x 10.4 cm (6 1/4 x 4 1/8 in.),,,,[],,[],,[],[],,,"{'wikidata': ['https://www.wikidata.org/wiki/Q78618889'], 'internet_archive': []}",[],,https://clevelandart.org/art/2015.441,[],Bequest of Muriel Butkin,,,,"Isidore Pils (French, 1813/15–1875), artist",,,,2025-02-08 21:10:52.350000
